# Q = discharge (cfs) in Otter Creek at Rutland (id: 04282575) and Middlebury (id: 0428575) VT
id	YYYY	MM	DD	hh	mm	Q
04282000	2016	10	01	00	00	54.9
04282000	2016	10	01	00	15	54.9
04282000	2016	10	01	00	30	54.0
04282000	2016	10	01	00	45	54.0
04282000	2016	10	01	01	00	54.0
04282000	2016	10	01	01	15	54.0
04282000	2016	10	01	01	30	53.1
04282000	2016	10	01	01	45	54.0
04282000	2016	10	01	02	00	54.0
04282000	2016	10	01	02	15	54.9
04282000	2016	10	01	02	30	54.0
04282000	2016	10	01	02	45	54.0
04282000	2016	10	01	03	00	54.0
04282000	2016	10	01	03	15	54.0
04282000	2016	10	01	03	30	53.1
04282000	2016	10	01	03	45	54.0
04282000	2016	10	01	04	00	54.0
04282000	2016	10	01	04	15	54.9
04282000	2016	10	01	04	30	54.9
04282000	2016	10	01	04	45	55.9
04282000	2016	10	01	05	00	55.9
04282000	2016	10	01	05	15	56.8
04282000	2016	10	01	05	30	57.7
04282000	2016	10	01	05	45	58.7
04282000	2016	10	01	06	00	59.7
04282000	2016	10	01	06	15	59.7
04282000	2016	10	01	06	30	59.7
04282000	2016	10	01	06	45	59.7
04282000	2016	10	01	07	00	60.6
04282000	2016	10	01	07	15	60.6
04282000	2016	10	01	07	30	60.6
04282000	2016	10	01	07	45	60.6
04282000	2016	10	01	08	00	61.6
04282000	2016	10	01	08	15	61.6
04282000	2016	10	01	08	30	60.6
04282000	2016	10	01	08	45	60.6
04282000	2016	10	01	09	00	60.6
04282000	2016	10	01	09	15	60.6
04282000	2016	10	01	09	30	61.6
04282000	2016	10	01	09	45	61.6
04282000	2016	10	01	10	00	61.6
04282000	2016	10	01	10	15	60.6
04282000	2016	10	01	10	30	60.6
04282000	2016	10	01	10	45	61.6
04282000	2016	10	01	11	00	60.6
04282000	2016	10	01	11	15	60.6
04282000	2016	10	01	11	30	60.6
04282000	2016	10	01	11	45	60.6
04282000	2016	10	01	12	00	60.6
04282000	2016	10	01	12	15	60.6
04282000	2016	10	01	12	30	60.6
04282000	2016	10	01	12	45	60.6
04282000	2016	10	01	13	00	61.6
04282000	2016	10	01	13	15	60.6
04282000	2016	10	01	13	30	61.6
04282000	2016	10	01	13	45	61.6
04282000	2016	10	01	14	00	61.6
04282000	2016	10	01	14	15	61.6
04282000	2016	10	01	14	30	60.6
04282000	2016	10	01	14	45	60.6
04282000	2016	10	01	15	00	61.6
04282000	2016	10	01	15	15	60.6
04282000	2016	10	01	15	30	61.6
04282000	2016	10	01	15	45	60.6
04282000	2016	10	01	16	00	60.6
04282000	2016	10	01	16	15	61.6
04282000	2016	10	01	16	30	61.6
04282000	2016	10	01	16	45	61.6
04282000	2016	10	01	17	00	61.6
04282000	2016	10	01	17	15	61.6
04282000	2016	10	01	17	30	62.6
04282000	2016	10	01	17	45	62.6
04282000	2016	10	01	18	00	62.6
04282000	2016	10	01	18	15	62.6
04282000	2016	10	01	18	30	62.6
04282000	2016	10	01	18	45	62.6
04282000	2016	10	01	19	00	62.6
04282000	2016	10	01	19	15	62.6
04282000	2016	10	01	19	30	63.6
04282000	2016	10	01	19	45	63.6
04282000	2016	10	01	20	00	62.6
04282000	2016	10	01	20	15	63.6
04282000	2016	10	01	20	30	63.6
04282000	2016	10	01	20	45	63.6
04282000	2016	10	01	21	00	63.6
04282000	2016	10	01	21	15	63.6
04282000	2016	10	01	21	30	63.6
04282000	2016	10	01	21	45	63.6
04282000	2016	10	01	22	00	64.6
04282000	2016	10	01	22	15	63.6
04282000	2016	10	01	22	30	64.6
04282000	2016	10	01	22	45	64.6
04282000	2016	10	01	23	00	65.9
04282000	2016	10	01	23	15	63.6
04282000	2016	10	01	23	30	64.6
04282000	2016	10	01	23	45	64.6
04282000	2016	10	02	00	00	64.6
04282000	2016	10	02	00	15	64.6
04282000	2016	10	02	00	30	63.6
04282000	2016	10	02	00	45	63.6
04282000	2016	10	02	01	00	64.6
04282000	2016	10	02	01	15	64.6
04282000	2016	10	02	01	30	64.6
04282000	2016	10	02	01	45	64.6
04282000	2016	10	02	02	00	63.6
04282000	2016	10	02	02	15	64.6
04282000	2016	10	02	02	30	63.6
04282000	2016	10	02	02	45	64.6
04282000	2016	10	02	03	00	63.6
04282000	2016	10	02	03	15	63.6
04282000	2016	10	02	03	30	64.6
04282000	2016	10	02	03	45	63.6
04282000	2016	10	02	04	00	63.6
04282000	2016	10	02	04	15	63.6
04282000	2016	10	02	04	30	63.6
04282000	2016	10	02	04	45	63.6
04282000	2016	10	02	05	00	63.6
04282000	2016	10	02	05	15	63.6
04282000	2016	10	02	05	30	63.6
04282000	2016	10	02	05	45	63.6
04282000	2016	10	02	06	00	63.6
04282000	2016	10	02	06	15	63.6
04282000	2016	10	02	06	30	63.6
04282000	2016	10	02	06	45	63.6
04282000	2016	10	02	07	00	63.6
04282000	2016	10	02	07	15	63.6
04282000	2016	10	02	07	30	63.6
04282000	2016	10	02	07	45	63.6
04282000	2016	10	02	08	00	63.6
04282000	2016	10	02	08	15	63.6
04282000	2016	10	02	08	30	63.6
