# Data from Mcmillan and Noe 2013 Ecosystems (2013) 16: 75–94 DOI: 10.1007/s10021-012-9597-0 
meas                              , unit           ,tot_avg  ,tot_sd   ,b1_avg   ,b1_sd   ,b2_avg ,b2_sd   ,b3_avg ,b3_sd   ,b4_avg ,b4_sd   ,b5_avg ,b5_sd
Water elevation above soil surface, (m)            , -0.90   ,  0.09   , -1.12   ,  0.23  , -1.12 ,  0.11  , -0.95 ,  0.13  , -0.38 ,  0.18  , -0.75 ,  0.19
Hydroperiod                       , (days)         , 16.3    ,  10.7   , 4.6     ,  4.6   , 0.5   ,  0.3   , 0.7   ,  0.3   , 67.6  ,  66.7  , 25.3  ,  24.5
Sediment accretion                , (mm y-1)       , 5.9     ,  2.7    , 6.2     ,  4.8   , 8.2   ,  8.2   , 8.9   ,  3.5   , 10.3  ,  6.9   , 2.8   ,  6.3
SRP loading to soil surface       , (mol P m-2 y-1), 9.9     ,  1.0    , 9.7     ,  1.4   , 7.0   ,  2.1   , 12.3  ,  1.6   , 9.6   ,  2.7   , 10.8  ,  2.9
NO3- loading to soil surface      , (mol N m-2 y-1), 67      ,  16     , 54      ,  17    , 63    ,  24    , 121   ,  68    , 58    ,  8     , 35    ,  6
NH4+ loading to soil surface      , (mol N m-2 y-1), 16      ,  2      , 11      ,  2     , 9     ,  3     , 19    ,  2     , 30    ,  7     , 15    ,  3
Soil d50                          , (lm)           , 10      ,  0.5    , 11      ,  0     , 10    ,  0     , 10    ,  1     , 10    ,  2     , 10    ,  1
Soil coarse sand                  , (>250 lm %)    , 3       ,  1      , 2       ,  1     , 3     ,  1     , 1     ,  0     , 4     ,  3     , 5     ,  2
Soil fine sand                    , (50–250 lm %)  , 8       ,  1      , 8       ,  1     , 6     ,  1     , 7     ,  1     , 9     ,  2     , 9     ,  2
Soil silt                         , (2–50 lm %)    , 73      ,  1      , 76      ,  1     , 75    ,  1     , 75    ,  1     , 69    ,  4     , 70    ,  2
Soil clay                         , (<2 lm %)      , 16      ,  2      , 14      ,  1     , 16    ,  1     , 16    ,  2     , 18    ,  6     , 17    ,  2
Soil bulk density                 , (g cm-3)       , 0.83    ,  0.02   , 0.76    ,  0.03  , 0.87  ,  0.05  , 0.84  ,  0.03  , 0.72  ,  0.08  , 0.94  ,  0.05
Soil moisture WFPS                , (%)            , 65      ,  3      , 58      ,  6     , 59    ,  7     , 67    ,  3     , 69    ,  13    , 72    ,  6
Soil pH                           , (pH)           , 5.61    ,  0.06   , 5.38    ,  0.23  , 5.70  ,  0.09  , 5.68  ,  0.05  , 5.65  ,  0.07  , 5.66  ,  0.05
Soil temperature                  , (C)            , 12.1    ,  0.1    , 12.0    ,  0.1   , 11.9  ,  0.2   , 12.3  ,  0.1   , 12.0  ,  0.1   , 12.2  ,  0.1
Soil total C                      , (%)            , 3.42    ,  0.3    , 4.2     ,  0.5   , 3.3   ,  0.7   , 3.1   ,  0.3   , 3.9   ,  0.7   , 2.7   ,  0.5
Soil total N                      , (%)            , 0.24    ,  0.02   , 0.29    ,  0.03  , 0.24  ,  0.04  , 0.22  ,  0.03  , 0.28  ,  0.06  , 0.21  ,  0.04
Soil total P                      , (lg g-1)       , 491     ,  35     , 403     ,  86    , 521   ,  84    , 495   ,  55    , 600   ,  130   , 472   ,  52
Soil KCl-extractable SRP          , (lmol P cm-3)  , 0.0036  ,  0.0004 , 0.0046  ,  0.0017, 0.0028,  0.0006, 0.0030,  0.0004, 0.0044,  0.0005, 0.0032,  0.0004
Soil KCl-extractable NO3-         , (lmol N cm-3)  , 0.16    ,  0.02   , 0.25    ,  0.05  , 0.06  ,  0.03  , 0.22  ,  0.06  , 0.09  ,  0.02  , 0.18  ,  0.02
Soil KCl-extractable NH4+         , (lmol N cm-3)  , 0.12    ,  0.01   , 0.14    ,  0.03  , 0.09  ,  0.02  , 0.11  ,  0.01  , 0.21  ,  0.05  , 0.09  ,  0.02
Soil worm mass                    , (g ww m-2)     , 4.8     ,  1.5    , 1.5     ,  1.2   , 4.4   ,  2.6   , 10.3  ,  4.9   , 1.5   ,  1.1   , 5.4   ,  3.6
Litterfall C flux                 , (mg C m-2 d-1) , 628     ,  24     , 708     ,  43    , 571   ,  34    , 618   ,  45    , 583   ,  86    , 643   ,  67
Litterfall N flux                 , (mg N m-2 d-1) , 17.5    ,  0.9    , 16.5    ,  0.5   , 12.1  ,  1.2   , 19.6  ,  1.7   , 19.7  ,  2.9   , 20.2  ,  1.7
Litterfall P flux                 , (mg P m-2 d-1) , 1.56    ,  0.07   , 1.56    ,  0.09  , 1.13  ,  0.08  , 1.63  ,  0.16  , 1.79  ,  0.23  , 1.76  ,  0.16
Herbaceous C flux                 , (mg C m-2 d-1) , 38.7    ,  8.4    , 15.1    ,  4.1   , 10.6  ,  5.5   , 83.6  ,  20.6  , 82.0  ,  26.1  , 16.5  ,  2.9
Herbaceous N flux                 , (mg N m-2 d-1) , 1.89    ,  0.36   , 0.79    ,  0.18  , 0.57  ,  0.31  , 4.01  ,  0.81  , 3.74  ,  0.97  , 0.98  ,  0.16
Herbaceous P flux                 , (mg P m-2 d-1) , 0.186   ,  0.038  , 0.080   ,  0.019 , 0.055 ,  0.031 , 0.398 ,  0.094 , 0.370 ,  0.119 , 0.089 ,  0.019
